Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.5870284,1.1540092,1.388536,1.2522938,1.4188007,1.1335628
1.590065,1.1601837,1.3952165,1.2516866,1.3877262,1.1234407
1.6071712,1.1569446,1.3806407,1.2451072,1.4020995,1.1202017
1.5726551,1.1736459,1.3927872,1.2463219,1.4082738,1.1373079
1.6074748,1.157147,1.4016945,1.2568487,1.3939006,1.1281981
1.5863198,1.1663581,1.3930908,1.2471316,1.4079702,1.1319432
1.58966,1.1508714,1.3943055,1.2536097,1.3936982,1.1303238
1.6065638,1.1634227,1.4035165,1.2593793,1.4039214,1.1396359
1.591482,1.1788081,1.3918762,1.2417669,1.4119178,1.126275
1.6018065,1.1531994,1.3862079,1.2516866,1.3961275,1.1438872
1.5867248,1.1617019,1.3822603,1.2513828,1.4023019,1.1342713
1.5886478,1.1503654,1.3970385,1.2536097,1.4085776,1.1230359
1.587737,1.1609935,1.3887384,1.247334,1.3882324,1.1398385
1.5947211,1.1631191,1.3991641,1.2443987,1.3972409,1.1435835
1.5834857,1.1409519,1.3907628,1.2484475,1.3960263,1.1367006
1.5901662,1.171419,1.3936982,1.2597841,1.3948116,1.1303238
